COUNT
26
26
27
27
28
28
28
29
29
29
29
30
30
30
31
32
33
33
34
34
35
35
35
35
36
37
39
40
41
41
41
41
41
41
42
43
44
44
44
45
46
46
47
47
47
48
48
48
49
49
50
50
50
50
50
52
52
54
54
54
56
56
56
57
60
62
62
62
63
64
64
64
69
69
70
70
71
73
74
75
75
75
75
76
77
78
82
82
82
85
85
85
86
89
89
91
93
96
97
98
98
102
102
103
104
107
108
111
115
117
121
131
141
142
152
156
159
169
180
181
181
184
191
192
193
193
201
201
206
207
208
209
212
221
223
227
229
232
233
249
252
259
269
272
272
274
283
313
330
334
335
338
370
371
379
381
397
402
420
432
440
520
545
580
670
830
895
965
973
1211
1725
4028
5759
